Aktual_DC_Power,Prediksi_LSTM
139105.9821435,167939.73
179723.120535,131149.39
149649.6517855,125867.195
88071.50000025,106971.46
36768.089286475,68628.055
5435.35267859,31742.496
0.0,7651.598
0.0,-2481.3394
0.0,-4487.883
0.0,-4445.057
0.0,-3904.5496
0.0,-4271.6646
0.0,-4238.1577
0.0,-2953.9639
0.0,-251.07603
0.0,6439.8066
0.0,16199.529
6706.995535725,29625.314
23272.78125,48982.273
65074.56250025,75515.04
125028.12499975,112208.05
155981.35714275,160518.66
185077.0089295,186603.83
178261.06249774998,191731.16
185620.5848215,177852.05
156552.65624950003,157053.98
115666.45535850001,124914.8
60261.5892865,85450.664
41039.834820749995,46317.562
7045.464285742501,26365.283
0.0,7408.8467
0.0,-1632.8033
0.0,-3603.5156
0.0,-3780.8354
0.0,-3954.2173
0.0,-5055.093
0.0,-5608.453
0.0,-4382.676
0.0,-853.5888
0.0,5861.296
0.0,15889.138
11725.165178537498,28586.693
66425.879464,48937.195
141800.86160750003,103472.28
182030.89285800004,175292.31
229636.093743,220231.69
269585.35714725003,234974.8
263819.03124075,238730.08
191561.28125075,217936.36
234825.92857300004,153108.47
185373.0312525,148898.7
85643.6741075,125618.88
30778.281250599997,66807.305
5238.58928574,23119.057
0.0,567.7466
0.0,-6881.658
0.0,-5892.648
0.0,-4211.3257
0.0,-3296.675
0.0,-2888.8079
0.0,-2140.4634
0.0,-1285.887
0.0,1646.784
0.0,6304.4814
0.0,14778.82
11627.84821405,27818.805
69640.93303575,50043.24
99358.660714,100089.99
167170.92410725,145912.8
210268.85714075,198656.95
177645.94643050001,223586.05
146766.5267855,204423.58
208910.03571675,157881.62
211340.34821725,164674.83
170822.51786025,173031.03
82568.29017825,128575.97
27629.147321625,68157.63
3873.6116070999997,23346.97
0.0,-350.10254
0.0,-8470.358
0.0,-8737.162
0.0,-6551.9717
0.0,-5772.709
0.0,-5277.827
0.0,-4032.9868
0.0,-2716.2922
0.0,-471.71002
0.0,4795.4185
0.0,12875.76
16413.486607135,23811.414
54186.88839375,46837.93
158070.5535705,89714.85
189894.008929,174632.84
225788.8750045,222920.78
193557.24106924998,239439.31
154216.51339425,204465.62
126232.14732399999,150369.62
149544.312501,106274.24
134090.17410675,90985.49
65021.013393,84571.47
42535.870536250004,51193.414
4332.8928570675,31189.781
0.0,9394.925
0.0,352.14453
0.0,-1508.9471
0.0,-2912.1738
0.0,-3058.9075
0.0,-2676.256
0.0,-3162.778
0.0,-2096.4873
0.0,2202.7693
0.0,8626.637
0.0,19151.25
10386.687500242499,32834.22
55950.73214175,53611.15
116306.1071425,95935.04
157928.45535675,152616.95
217117.94196525,194392.72
184149.79017825,224005.25
128304.06696475002,200691.14
143867.74107075,141163.05
154432.19642599998,113397.89
111555.918651,103668.15
73231.258929,76949.8
33767.5892865,51779.527
6126.83035714,26304.557
0.0,6975.0024
0.0,-1537.6166
0.0,-4303.464
0.0,-4469.3438
0.0,-4886.609
0.0,-4562.1567
0.0,-3857.5146
0.0,-1795.9084
0.0,3032.041
0.0,11741.767
0.0,22711.492
4548.339285715,36693.207
57797.16964325,56489.555
83552.62053625,99742.92
126797.4955355,138950.02
147595.07142875,170746.73
186699.63839500002,181005.17
246067.8705415,186179.95
186492.8616075,207023.14
156749.5758925,160468.98
47399.97767825,118287.5
54000.4330355,51109.766
28397.772321875003,30138.99
5620.299107195,17938.959
0.0,6052.185
0.0,-222.06212
0.0,-3330.8628
0.0,-3950.3547
0.0,-4414.0283
